Object/Action_1,Object/Action_2,UsedFor,CapableOf,CreatedBy,Affordance,HasA,IsA,AtLocation,LocatedNear
reduction:balsamic,take,1,0,0,1,0,0,0,0
saucepan,drain,1,0,0,1,0,0,0,0
rice,pan,0,0,0,0,0,0,0,1
pot:coffee,empty,1,0,0,1,0,0,0,0
fan,start,1,0,0,1,0,0,0,0
pan,plate,0,0,0,0,0,0,0,1
bag:flour,cupboard,0,0,0,0,0,0,0,1
filter,pot:coffee,0,0,0,0,0,0,0,1
soap,sponge,0,0,0,0,0,0,0,1
stove,switch-on,1,0,0,1,0,0,0,0
drainer,lid:pot,0,0,0,0,0,0,0,1
kettle,boil,1,0,0,1,0,0,0,0
lid:tin,rinse,1,0,0,1,0,0,0,0
filter,coffee,0,0,0,0,0,0,0,1
bin,throw,1,0,0,1,0,0,0,0
machine:washing,close,1,0,0,1,0,0,0,0
pot,brusher,0,0,0,0,0,0,0,1
sink,wipe-off,1,0,0,1,0,0,0,0
tin,take,1,0,0,1,0,0,0,0
bar:cereal,take,1,0,0,1,0,0,0,0
chicken,chop,1,0,0,1,0,0,0,0
thyme,measure,1,0,0,1,0,0,0,0
plate,counter,0,0,0,0,0,0,0,1
mixture,egg,0,0,0,0,0,0,0,1
jar,wipe,1,0,0,1,0,0,0,0
pesto,spread,1,0,0,1,0,0,0,0
pan,olive,0,0,0,0,0,0,0,1
paper,pizza,0,0,0,0,0,0,0,1
plastic,side,0,0,0,0,0,0,0,1
package:bread,take-out,1,0,0,1,0,0,0,0
saucepan,bowl,0,0,0,0,0,0,0,1
pack:tortilla,open,1,0,0,1,0,0,0,0
bottle:milk,packaging,0,0,0,0,0,0,0,1
bread,place-on,1,0,0,1,0,0,0,0
tomato,fridge,0,0,0,0,0,0,0,1
herb,pick,1,0,0,1,0,0,0,0
mozzarella,pick-up,1,0,0,1,0,0,0,0
wool:steel,put-down,1,0,0,1,0,0,0,0
sponge,rise,1,0,0,1,0,0,0,0
bag:garlic,open,1,0,0,1,0,0,0,0
pan,put-into,1,0,0,1,0,0,0,0
sugar,put-down,1,0,0,1,0,0,0,0
dishwasher,cooker:rice,0,0,0,0,0,0,0,1
curry,mix,1,0,0,1,0,0,0,0
teapot,rack:drying,0,0,0,0,0,0,0,1
package:popcorn,open,1,0,0,1,0,0,0,0
lid,put,1,0,0,1,0,0,0,0
gravy,take,1,0,0,1,0,0,0,0
water:tap,filter,0,0,0,0,0,0,0,1
oil:olive,get,1,0,0,1,0,0,0,0
spoon,look-for,1,0,0,1,0,0,0,0
can,pick-up,1,0,0,1,0,0,0,0
colander,remove,1,0,0,1,0,0,0,0
box:milk,take-out,1,0,0,1,0,0,0,0
table,sauce,0,0,0,0,0,0,0,1
rice,cupboard,0,0,0,0,0,0,0,1
saucepan:small,take,1,0,0,1,0,0,0,0
cafetiere,rinse,1,0,0,1,0,0,0,0
brush,put-down,1,0,0,1,0,0,0,0
heart:tomato,take,1,0,0,1,0,0,0,0
ginger,halve,1,0,0,1,0,0,0,0
peach,pick-up,1,0,0,1,0,0,0,0
package:pizza,cut,1,0,0,1,0,0,0,0
rice,wash,1,0,0,1,0,0,0,0
towel:kitchen,place,1,0,0,1,0,0,0,0
egg,box:paper,0,0,0,0,0,0,0,1
floor,trash,0,0,0,0,0,0,0,1
cabinet,grab,1,0,0,1,0,0,0,0
bowl,clean-up,1,0,0,1,0,0,0,0
board:chopping,wash,1,0,0,1,0,0,0,0
