Object/Action_1,Object/Action_2,ActionUsedFor,HasProperty,AssociatedWith,Affordance,AtLocation,LocatedNear,CreatedBy,Action
skin,garlic,0,0,1,0,0,1,0,0.0
tablecloth,move,0,0,0,1,0,0,0,1.0
salt,pan,0,0,1,0,0,1,0,0.0
omelette,pick-up,0,0,0,1,0,0,0,1.0
water:pour,pasta,0,0,1,0,0,1,0,0.0
cooker:rice,move,0,0,0,1,0,0,0,1.0
dressing:salad,open,0,0,0,1,0,0,0,1.0
corn,taste,0,0,0,1,0,0,0,1.0
cloth,wash,0,0,0,1,0,0,0,1.0
vegetable,adjust,0,0,0,1,0,0,0,1.0
kettle,hold,0,0,0,1,0,0,0,1.0
blueberry,top,0,0,1,0,0,1,0,0.0
bowl:glass,piece:lettuce,0,0,1,0,0,1,0,0.0
pot,put-in,0,0,0,1,0,0,0,1.0
blueberry,box,0,0,1,0,0,1,0,0.0
pesto,put-down,0,0,0,1,0,0,0,1.0
sausage,throw,0,0,0,1,0,0,0,1.0
cupboard,box:yeast,0,0,1,0,0,1,0,0.0
processor:food,turn-on,0,0,0,1,0,0,0,1.0
chorizo,pull,0,0,0,1,0,0,0,1.0
mincemeat,distribute,0,0,0,1,0,0,0,1.0
pot,shake,0,0,0,1,0,0,0,1.0
potato,board,0,0,1,0,0,1,0,0.0
cucumber:chopped,pick-up,0,0,0,1,0,0,0,1.0
package,fridge,0,0,1,0,0,1,0,0.0
flavour,salt,0,0,1,0,0,1,0,0.0
bag:bin,pick-up,0,0,0,1,0,0,0,1.0
skin,take,0,0,0,1,0,0,0,1.0
napkin,water,0,0,1,0,0,1,0,0.0
top,pan,0,0,1,0,0,1,0,0.0
tupperware,wash,0,0,0,1,0,0,0,1.0
bottle,bin,0,0,1,0,0,1,0,0.0
pin:rolling,bowl,0,0,1,0,0,1,0,0.0
counter,place-on,0,0,0,1,0,0,0,1.0
hand:left,flour,0,0,1,0,0,1,0,0.0
slice:pineapple,pick-up,0,0,0,1,0,0,0,1.0
packet,cereal,0,0,1,0,0,1,0,0.0
plate,chopstick,0,0,1,0,0,1,0,0.0
oil:olive,pick-up,0,0,0,1,0,0,0,1.0
pepper,pick-up,0,0,0,1,0,0,0,1.0
tortilla,take,0,0,0,1,0,0,0,1.0
paste,spoon,0,0,0,1,0,0,0,1.0
microwave,put,0,0,0,1,0,0,0,1.0
lettuce:chopped,pick-up,0,0,0,1,0,0,0,1.0
board:cutting,place,0,0,0,1,0,0,0,1.0
leaf:spinach,wash,0,0,0,1,0,0,0,1.0
table,salt,0,0,1,0,0,1,0,0.0
detergent,spay,0,0,0,1,0,0,0,1.0
meat,inspect,0,0,0,1,0,0,0,1.0
cloth,pick-up,0,0,0,1,0,0,0,1.0
water,put,0,0,0,1,0,0,0,1.0
celery,cut,0,0,0,1,0,0,0,1.0
flour:egg,egg,0,0,1,0,0,1,0,0.0
lid,butter,0,0,1,0,0,1,0,0.0
tortilla,plate,0,0,1,0,0,1,0,0.0
silverware,wash,0,0,0,1,0,0,0,1.0
cup,flour,0,0,1,0,0,1,0,0.0
ring:onion,turn,0,0,0,1,0,0,0,1.0
potato,get,0,0,0,1,0,0,0,1.0
spatula:wooden,drainer,0,0,1,0,0,1,0,0.0
cheese,spread,0,0,0,1,0,0,0,1.0
cooker,chicken,0,0,1,0,0,1,0,0.0
candle,take,0,0,0,1,0,0,0,1.0
liquid,put,0,0,0,1,0,0,0,1.0
noodle:convenient,take-out,0,0,0,1,0,0,0,1.0
filter,wipe-off,0,0,0,1,0,0,0,1.0
slice:ginger,piece:smaller,0,0,1,0,0,1,0,0.0
milk:soy,bag,0,0,1,0,0,1,0,0.0
cheese,break,0,0,0,1,0,0,0,1.0
food,pick-up,0,0,0,1,0,0,0,1.0
meat,add,0,0,0,1,0,0,0,1.0
squash,saucepan,0,0,1,0,0,1,0,0.0
tupperware,pick-up,0,0,0,1,0,0,0,1.0
paste:garlic,get,0,0,0,1,0,0,0,1.0
milk,put-down,0,0,0,1,0,0,0,1.0
flour:dough,pick-up,0,0,0,1,0,0,0,1.0
ginger,piece:smaller,0,0,1,0,0,1,0,0.0
honey,cherry,0,0,1,0,0,1,0,0.0
carrot,chop,0,0,0,1,0,0,0,1.0
garbage,bin:garbage,0,0,1,0,0,1,0,0.0
granola,pick-up,0,0,0,1,0,0,0,1.0
vegetable,pick-up,0,0,0,1,0,0,0,1.0
board:chopping,dry,0,0,0,1,0,0,0,1.0
pot,salt,0,0,1,0,0,1,0,0.0
packet,pepper,0,0,1,0,0,1,0,0.0
hob,turn-down,0,0,0,1,0,0,0,1.0
microwave,oven,0,0,1,0,0,1,0,0.0
water:tap,cloth:cleaning,0,0,1,0,0,1,0,0.0
bean:green,water:tap,0,0,1,0,0,1,0,0.0
tablespoon,wash,0,0,0,1,0,0,0,1.0
wok,detergent,0,0,1,0,0,1,0,0.0
sauce,pick-up,0,0,0,1,0,0,0,1.0
something,bottle,0,0,1,0,0,1,0,0.0
hand,duster,0,0,1,0,0,1,0,0.0
fish,sink,0,0,1,0,0,1,0,0.0
water,oven,0,0,1,0,0,1,0,0.0
pot:plastic,garlic,0,0,1,0,0,1,0,0.0
dish,scrub,0,0,0,1,0,0,0,1.0
fork,grab,0,0,0,1,0,0,0,1.0
basket,fold,0,0,0,1,0,0,0,1.0
pan,place,0,0,0,1,0,0,0,1.0
fish,stir,0,0,0,1,0,0,0,1.0
spice,grab,0,0,0,1,0,0,0,1.0
flame,turn-off,0,0,0,1,0,0,0,1.0
chopstick,take,0,0,0,1,0,0,0,1.0
